# from spn projections from WannierBerri! (not PROCAR, from which the spin projections are kind of wrong)
# following the structure of PROCAR: all bands at 0th k-point, follows all bands at 1st k-point, ...
#  Sx	Sy	Sz
-1.510405540466e-02 8.662351407111e-03 9.938139915466e-01
9.847906418145e-03 -5.625498946756e-03 -9.996879100800e-01
-1.346937915514e-05 1.037389520206e-04 9.999983906746e-01
9.780728723854e-04 -6.449276697822e-04 9.995962381363e-01
-1.908761681989e-03 1.072439947166e-03 9.986994862556e-01
-1.203988329507e-03 7.947087287903e-04 -9.994622468948e-01
2.719104988500e-03 -1.534401904792e-03 -9.985769987106e-01
7.983169518411e-03 -7.506136782467e-03 9.964553713799e-01
-8.325895294547e-03 7.781177293509e-03 -9.997584223747e-01
1.990613192320e-01 -1.162422150373e-01 9.718565344810e-01
-1.440141052008e-01 8.446758985519e-02 -9.270126819611e-01
-7.354179024696e-01 4.235734641552e-01 5.173953771591e-01
6.533566117287e-01 -3.762764930725e-01 -5.177878737450e-01
-3.526921197772e-02 9.537871927023e-03 9.650179147720e-01
6.266304105520e-02 -2.661023102701e-02 -9.958062171936e-01
1.895067864098e-03 -1.096938736737e-03 9.985237121582e-01
2.903795428574e-02 -1.627723686397e-02 -9.939259290695e-01
-1.341274473816e-02 6.798432674259e-03 9.920721054077e-01
-2.844153158367e-02 1.322370953858e-02 -9.852252602577e-01
8.827587217093e-02 -1.477888436057e-03 9.804193377495e-01
-1.159670948982e-01 1.943307742476e-02 -9.804788231850e-01
-5.242757871747e-02 9.283854626119e-03 9.794601798058e-01
7.995420694351e-02 -2.356777153909e-02 -9.920255541801e-01
1.615527421236e-01 3.018054664135e-01 8.932671546936e-01
-1.968438625336e-01 -3.729166984558e-01 -8.819095492363e-01
1.012970358133e-01 1.678590849042e-02 9.724408984184e-01
-1.006029397249e-01 1.403321698308e-02 -9.895302057266e-01
-3.690316528082e-02 -4.333378672600e-01 1.257380098104e-01
2.974841743708e-03 6.054167747498e-01 2.086412534118e-02
-1.381139159203e-01 -2.008393257856e-01 -6.844817996025e-01
1.491685360670e-01 -1.706578135490e-01 9.646849036217e-01
-1.547979861498e-01 1.494228392839e-01 -6.698614358902e-01
-4.609568350133e-05 2.162425153074e-05 9.671152830124e-01
5.830650115968e-05 -3.835711686406e-05 9.476771354675e-01
1.987452742469e-05 -1.670373603702e-05 9.999998211861e-01
-9.826640962274e-06 1.080148558685e-05 -9.415449500084e-01
1.355200220132e-04 -7.355291018030e-05 -9.628109931946e-01
-1.534769107820e-04 9.390348714078e-05 -9.999996423721e-01
-2.307040849701e-03 1.372642698698e-03 -9.999955892563e-01
2.324857981876e-03 -1.383316935971e-03 9.999905228615e-01
-1.010055374354e-02 5.837326869369e-03 -9.999045133591e-01
1.029515732080e-02 -5.949632730335e-03 9.998942613602e-01
-2.220573648810e-02 1.283784769475e-02 9.838346242905e-01
5.084340274334e-02 -2.934910170734e-02 9.894717335701e-01
2.542674243450e-01 -1.504427790642e-01 7.513384222984e-01
-2.660341262817e-01 1.567638218403e-01 -7.932494282722e-01
6.128279492259e-02 -3.537128120661e-02 -9.831578135490e-01
-3.611076995730e-02 2.082940563560e-02 -9.937239885330e-01
2.249801903963e-02 -1.282500103116e-02 9.776141047478e-01
-1.498488523066e-02 8.486325852573e-03 -9.964380264282e-01
-2.918123081326e-02 1.684510149062e-02 9.356738924980e-01
-2.028641290963e-02 1.170275546610e-02 9.931359291077e-01
5.567794665694e-02 -3.214052319527e-02 -6.671239733696e-01
9.912087582052e-03 -5.717098247260e-03 -4.353547096252e-01
-4.425330832601e-02 2.555013820529e-02 -6.394265294075e-01
1.807872392237e-02 -1.043720357120e-02 9.348767399788e-01
4.085094202310e-03 -2.364749787375e-03 9.941563010216e-01
2.645326545462e-03 -1.537018222734e-03 9.996903538704e-01
5.950586404651e-03 -3.440119558945e-03 9.770815372467e-01
