# E (eV)	(E_wann - E_DFT)**2
-7.785741806030	6.256449089780e-10
-7.782198905945	8.971282203722e-08
-7.780998229980	6.589128858172e-07
-7.774519920349	2.837184854058e-07
-7.766533851624	6.603702946383e-08
-7.762147903442	3.131818146355e-07
-7.751432895660	1.067708764399e-09
-7.745876789093	6.659928995427e-07
-7.743032932281	6.420664377633e-10
-7.741786003113	3.286724734980e-07
-7.735609054565	3.463262349191e-07
-7.729544162750	1.194618278461e-08
-7.716972827911	1.123124554842e-07
-7.714396953583	3.830930311664e-07
-7.713933944702	6.429959121196e-10
-7.710866928101	3.885325087477e-07
-7.709924221039	6.831379328657e-07
-7.700717926025	4.151239631844e-07
-7.697946071625	1.719256756020e-09
-7.696325778961	2.915305988944e-07
-7.696112155914	4.302756214658e-07
-7.696112155914	4.302756214658e-07
-7.690235137939	1.312455953298e-08
-7.675304889679	6.844425917314e-10
-7.673173904419	6.952040941951e-07
-7.656591892242	1.298034736322e-07
-7.654046058655	1.359460396232e-07
-7.650650978088	2.042587763379e-09
-7.635930061340	4.637131393240e-10
-7.635680198669	6.999405797815e-07
-7.623952865601	2.997765874324e-07
-7.618987083435	2.120184909814e-08
-7.618987083435	2.120184909814e-08
-7.618711948395	2.024436331019e-08
-7.617959976196	1.940958842671e-08
-7.616944789886	1.884154990143e-08
-7.616731166840	1.924266550326e-08
-7.615030765533	1.940349866569e-08
-7.612864017487	2.011656000692e-08
-7.610787868500	1.606535906990e-08
-7.610242843628	2.026576634092e-08
-7.607173919678	2.077103006362e-08
-7.603668212891	2.196065096955e-08
-7.601390838623	2.273845073279e-09
-7.601243019104	1.261473185789e-07
-7.600468158722	1.273778445073e-08
-7.599742889404	2.302396240005e-08
-7.598361968994	3.792611583407e-07
-7.597523212433	6.914816977007e-07
-7.596384048462	1.203681538320e-09
-7.595415115356	2.384354693415e-08
-7.590704917908	2.421297575385e-08
-7.586896896362	1.827456002653e-07
-7.585894107819	1.004566556655e-08
-7.585631847382	2.487619416154e-08
-7.582843780518	9.168507872180e-08
-7.582843780518	9.168507872180e-08
-7.581527233124	9.366025425248e-08
-7.581086158752	9.119823305026e-08
-7.580217838287	2.662746936174e-08
-7.577571868896	9.389701184855e-08
-7.575812816620	8.706550089039e-08
-7.574492931366	2.838408944461e-08
-7.574281215668	4.073783068233e-07
-7.570984840393	9.184686185815e-08
-7.568486213684	2.997774143529e-08
-7.567285060883	4.274247728985e-08
-7.567039966583	8.340937754679e-08
-7.566965103149	3.430457505149e-09
-7.566376209259	7.174353654498e-08
-7.563039779663	1.112047199782e-08
-7.562231063843	3.047266150276e-08
-7.561786174774	9.201521445501e-08
-7.561532974243	9.626578520652e-08
-7.558870792389	6.737878187672e-07
-7.557427883148	1.174179755966e-09
-7.555751800537	3.298356904067e-08
-7.554788112640	8.188525391619e-08
-7.553596019745	1.191254371284e-07
-7.551482200623	3.351159295122e-09
-7.551323890686	1.174442658561e-07
-7.550440788269	2.075005993497e-09
-7.549987792969	9.132801186637e-08
-7.549694061279	4.045534032302e-07
-7.549098014832	3.263427399680e-08
-7.543468952179	2.951635774811e-10
-7.543365955353	1.430351747350e-07
-7.542294025421	3.471351917169e-08
