# E (eV)	(E_wann - E_DFT)**2
-4.592234611511	2.691554302248e-08
-4.591482162476	2.610551754029e-08
-4.590467453003	2.529416972268e-08
-4.590253829956	2.575858679475e-08
-4.588553428650	2.594461610057e-08
-4.586386680603	2.676814798847e-08
-4.584310531616	2.205999675447e-08
-4.583765029907	2.709697948288e-08
-4.580696105957	2.768074096377e-08
-4.577190399170	2.905149309110e-08
-4.574913024902	6.467424192499e-10
-4.574765205383	1.424503542327e-07
-4.573990821838	1.812757337906e-08
-4.573265075684	3.027259342386e-08
-4.571884155273	4.071659305470e-07
-4.571045875549	6.557386304717e-07
-4.569906234741	1.547633825073e-10
-4.568937301636	3.121132741050e-08
-4.564227104187	3.163379280153e-08
-4.560419082642	1.642144515334e-07
-4.559416770935	1.488520814280e-08
-4.559154510498	3.221980922247e-08
-4.556365966797	7.870365648491e-08
-4.556365966797	7.870365648491e-08
-4.555049896240	8.080530820588e-08
-4.554608345032	7.825263879064e-08
-4.553740501404	3.420877329857e-08
-4.551094055176	8.075399409598e-08
-4.549335479736	7.468838282942e-08
-4.548015594482	3.619607711343e-08
-4.547803878784	4.356512514535e-07
-4.544507026672	7.885355473321e-08
-4.542008399963	3.817902415027e-08
-4.540807723999	5.222112632355e-08
-4.540562629700	7.130498536137e-08
-4.540487289429	6.532491222987e-09
-4.539898872375	8.388363872931e-08
-4.536561965942	1.630917216831e-08
-4.535753250122	3.873729569310e-08
-4.535308837891	7.927784317696e-08
-4.535055160522	1.105702160894e-07
-4.532393455505	6.385111248607e-07
-4.530950546265	1.559856838287e-10
-4.529273986816	4.156196228283e-08
-4.528310775757	6.989631498123e-08
-4.527118682861	1.346320578278e-07
-4.525004386902	1.269887272887e-09
-4.524846076965	1.331922574806e-07
-4.523962974548	5.428207070067e-10
-4.523509979248	7.837285758662e-08
-4.523216247559	4.333573725264e-07
-4.522620201111	4.116975307882e-08
-4.516991615295	1.517664121240e-09
-4.516888618469	1.599814383483e-07
-4.515816688538	4.330249998992e-08
-4.512613296509	7.326391162724e-08
-4.509137153625	7.893982373592e-08
-4.508913040161	4.486437266517e-08
-4.505287170410	1.900620522516e-07
-4.502371788025	7.300522699846e-08
-4.501949310303	4.782281651666e-08
-4.497076988220	4.005147457688e-07
-4.494971275330	5.282714197626e-08
-4.493769645691	4.332554631662e-11
-4.493735313416	5.906017277924e-07
-4.493507385254	7.965305530430e-08
-4.493494033813	2.377990191700e-07
-4.492214202881	7.892192447751e-08
-4.488688468933	3.928797998936e-11
-4.488033294678	5.741403271475e-08
-4.483450889587	3.191421530484e-07
-4.481317520142	1.130439024893e-07
-4.481186866760	6.086509869269e-08
-4.479316711426	5.183661014464e-07
-4.479316711426	5.183661014464e-07
-4.478569030762	4.522642669713e-07
-4.478049278259	5.002663691242e-07
-4.474483489990	6.317302934517e-08
-4.473780632019	4.437737815840e-07
-4.472777366638	7.921989607887e-08
-4.471676826477	4.247322562847e-10
-4.471044540405	8.737592140101e-08
-4.468873023987	3.773729326933e-07
-4.467967987061	6.863024094742e-08
-4.467178344727	3.886173707037e-07
-4.463825225830	2.579671353827e-07
-4.461707115173	7.108888700089e-08
-4.460150718689	2.129284668726e-12
-4.459724426270	3.296042771761e-07
-4.458059310913	2.671676792271e-07
-4.455752372742	7.271142810842e-08
-4.455273628235	4.131262055694e-09
-4.452635765076	2.731001889399e-07
-4.451033592224	8.387921962510e-08
-4.450872421265	8.146787908410e-08
-4.450152397156	7.757829328490e-08
-4.446796417236	2.122192803952e-07
-4.445956230164	8.373323203690e-08
-4.445286750793	9.254165455145e-08
-4.444967269897	8.324980471263e-08
-4.444028854370	9.593207700975e-08
-4.440248489380	9.107791965923e-08
-4.438439369202	3.586942018432e-07
-4.436053276062	9.757384314774e-08
-4.432723999023	1.161682369453e-09
-4.432425498962	1.056512094311e-07
-4.429406166077	1.188301587271e-07
-4.427631378174	1.554920390603e-07
-4.427046775818	1.316120687537e-07
-4.426579475403	2.323838860724e-08
-4.426544189453	8.166070873174e-08
-4.426102638245	1.715303482475e-07
